PRESSURE,TEMPERATURE,SALINITY,OXYGEN
3.613,27.332,34.6981,199.37573
3.825,27.3383,34.6985,199.35485
3.887,27.3387,34.698,199.35427
35.141,27.3443,34.6958,199.33863
62.499,21.7449,34.4178,219.46572
66.649,21.3507,34.4081,221.01099
100.384,16.1309,34.5967,243.06647
120.586,15.085,34.7049,247.88046
131.4,14.3177,34.7602,251.57293
160.815,13.3606,34.758,256.45635
181.303,12.8127,34.7652,259.31796
202.858,12.3262,34.7632,261.92551
251.301,11.4896,34.7211,266.59858
303.059,10.69,34.6798,271.21309
352.527,9.8106,34.6312,276.46841
402.991,9.1201,34.598,280.71731
503.597,7.8004,34.5481,289.15152
654.69,6.5787,34.5304,297.31794
857.223,5.2177,34.531,306.87708
1007.382,4.5088,34.5458,312.04489
1515,3.1855,34.5864,322.09081
1262,3.827,34.5597,317.16606
1008.5,4.6726,34.5336,310.8572
846,5.2966,34.5248,306.32184
655,6.4881,34.5287,297.94159
503.5,8.1562,34.57295,286.808995
402,9.669,34.6407,277.29785
352,10.2348,34.6693,273.88158
302,10.9419,34.7071,269.71627
252,11.4544,34.7332,266.77221
201,12.0764,34.7632,263.28173
176,12.44,34.7811,261.27915
150.5,13.01825,34.79825,258.173625
120,14.0133,34.7755,253.07926
120,14.0133,34.7755,253.07926
110,14.4952,34.744,250.7148
100,15.1324,34.7169,247.62537
91,16.2532,34.655,242.40854
60.5,21.90335,34.4698,218.78709
55,22.1405,34.4662,217.88033
55,22.1405,34.4662,217.88033
40,27.2752,34.2489,200.12051
3,28.126,33.4659,198.38086
3,28.126,33.4659,198.38086
2.537,29.0227,33.5564,195.44709
19.914,29.0412,33.5555,195.39034
40.138,29.0235,33.6082,195.38043
49.923,24.7737,34.3258,208.46179
59.894,21.6649,34.467,219.70354
70.201,19.126,34.5698,229.79809
81.136,16.9431,34.6548,239.22047
90.509,16.1006,34.6895,243.0546
100.409,15.3877,34.732,246.36965
110.506,14.7021,34.7567,249.6683
120.19,14.0111,34.7876,253.06884
130.599,13.6342,34.7851,254.99522
139.35,13.5639,34.7843,255.35846
150.888,13.2747,34.8059,256.81727
301.446,11.3156,34.7234,267.56824
503.236,8.386,34.577,285.33846
755.426,6.0452,34.5301,301.00067
1008.204,4.6373,34.5387,311.10643
1210.357,3.9187,34.5574,316.47005
1514.836,3.1007,34.5891,322.75426
1717.751,2.7543,34.6052,325.47733
2023.15,2.2307,34.6314,329.66698
2324.677,1.9399,34.6481,332.03053
2531.059,1.8357,34.6545,332.88304
4.226,29.5783,33.5917,193.69256
40.101,27.9448,33.6575,198.71844
44.938,26.8371,33.992,201.89126
45.037,26.543,33.9852,202.87363
50.479,25.8213,34.0116,205.26613
90.355,15.7382,34.7345,244.68949
100.595,14.8071,34.7707,249.12701
110.491,14.1192,34.7942,252.51123
110.547,14.1254,34.7936,252.4809
120.929,13.7069,34.8018,254.59317
120.983,13.7068,34.8017,254.59363
130.706,13.3552,34.8118,256.38865
150.543,12.8772,34.8164,258.88405
201.542,12.0159,34.7691,263.60064
252.286,11.2975,34.7283,267.66143
302.333,10.9573,34.7137,269.61583
352.752,10.2654,34.6661,273.70839
403.376,9.7455,34.6368,276.84614
502.914,8.553,34.5792,284.28001
654.481,6.9684,34.5494,294.63876
857.031,5.6365,34.535,303.8671
1007.811,4.7931,34.5408,309.95075
1261.549,3.6747,34.5698,318.31403
1513.902,2.9891,34.5987,323.61658
3.591,29.5361,33.543,193.88071
19.236,29.4884,33.5603,194.00555
54.844,25.2397,34.0969,207.14666
54.948,25.2321,34.0989,207.17052
60.935,22.5669,34.2887,216.51972
65.738,20.4765,34.4697,224.38891
80.725,16.0316,34.738,243.29779
90.661,15.6825,34.7559,244.91811
100.475,14.5784,34.8198,250.17119
100.767,14.5704,34.8203,250.20992
110.433,14.134,34.8151,252.4
120.919,13.7839,34.8174,254.17128
131.189,13.5352,34.833,255.41972
151.271,13.2356,34.8383,256.963
151.446,13.2361,34.8382,256.96065
201.798,12.5067,34.8106,260.8664
251.708,11.9955,34.7784,263.69489
301.737,11.4464,34.741,266.80168
352.492,10.7841,34.6989,270.63441
403.241,9.9771,34.6493,275.44156
504.976,8.5651,34.5852,284.1918
655.962,6.9125,34.5369,295.04207
858.237,5.351,34.5282,305.92218
1008.113,4.6747,34.5415,310.82342
4.661,28.5213,33.2231,197.42943
20.853,28.5099,33.2222,197.46625
45.832,27.2878,33.8319,200.61893
46.277,26.8571,33.9181,201.92018
50.176,25.3694,34.1042,206.68974
75.527,17.0018,34.6978,238.88385
90.75,15.116,34.7844,247.59406
101.048,14.3824,34.7843,251.20774
111.026,13.8656,34.8034,253.77961
119.673,13.5603,34.8093,255.33237
120.557,13.5495,34.8096,255.38754
150.75,13.1072,34.8369,257.63642
181.373,12.659,34.82,260.03521
211.265,12.277,34.7985,262.12561
251.935,11.5525,34.7507,266.19191
303.136,11.0023,34.7214,269.34453
352.978,10.5069,34.6869,272.2586
405.099,9.4137,34.6206,278.87951
466.388,8.2597,34.5648,286.16551
604.609,6.8778,34.5539,295.23864
857.167,5.2729,34.5442,306.44859
1008.831,4.6205,34.5502,311.20434
1262.226,3.7855,34.567,317.46731
1516.746,3.0728,34.5944,322.96227
3.546,29.5946,33.5281,193.71993
30.789,28.4761,33.6153,197.08394
60.571,26.2592,34.1827,203.56416
61.118,26.0755,34.1962,204.1644
64.934,24.8,34.3897,208.28386
65.778,24.7435,34.3983,208.47001
80.042,20.1154,34.4258,225.91688
80.113,20.0955,34.4266,225.99651
101.057,16.4651,34.5941,241.51422
121.011,14.8515,34.653,249.11125
130.993,14.5283,34.6952,250.63538
142.963,13.6551,34.7486,254.95293
150.943,13.3182,34.7625,256.66901
161.213,12.9909,34.7701,258.36788
180.857,12.3616,34.7672,261.72696
200.791,12.1092,34.7582,263.11172
251.853,11.4449,34.7332,266.8254
301.548,10.7669,34.6903,270.75065
352.632,10.0581,34.6502,274.96014
402.58,9.3793,34.6162,279.09726
504.512,7.9699,34.5719,288.00602
604.429,6.9646,34.5434,294.67775
857.694,5.2062,34.5321,306.95727
1009.148,4.4056,34.5468,312.81349
2.896,28.4555,33.9889,196.68543
2.974,28.4668,33.9887,196.64999
3.028,28.4563,33.9891,196.68253
3.13,28.4807,33.9885,196.60647
3.153,28.4581,33.9889,196.67712
3.205,28.4745,33.9886,196.62605
3.221,28.463,33.9887,196.66181
3.255,28.465,33.9887,196.65568
3.339,28.4642,33.9886,196.65834
3.391,28.4681,33.9887,196.64597
3.436,28.4591,33.9888,196.67407
25.252,28.2562,34.1315,197.1358
49.79,23.8119,34.3745,211.81424
65,20.8283,34.4096,223.06947
100.753,15.472,34.7088,246.00375
125.08,14.0385,34.7805,252.94251
150.523,13.2786,34.816,256.77891
175.943,12.6533,34.8055,260.09235
200.824,12.3205,34.7894,261.90783
252.073,11.6241,34.7514,265.79228
403.122,9.231,34.6106,280.01261
604.993,7.093,34.5521,293.79878
806.504,5.4887,34.5335,304.92327
1008.408,4.4637,34.546,312.38041
20.023,21.8534,34.5507,218.85669
25.519,21.2104,34.5441,221.36233
35.441,19.0367,34.529,230.23828
49.997,17.0017,34.5873,239.06393
70.326,15.8746,34.6887,244.12023
80.347,15.3581,34.7103,246.54883
90.935,14.7909,34.7454,249.25041
100.717,14.5543,34.7597,250.39484
110.671,14.3103,34.7629,251.60526
121.538,14.0425,34.7775,252.92763
140.642,13.1132,34.8003,257.67103
161.114,12.8467,34.7991,259.07644
180.904,12.5922,34.793,260.44128
181.063,12.5969,34.7932,260.41548
201.488,12.2414,34.7769,262.3589
202.367,12.2396,34.7768,262.36879
251.685,11.5435,34.7363,266.26886
302.172,11.0125,34.7037,269.32018
351.854,10.5103,34.672,272.26786
402.659,9.7819,34.6278,276.64677
503.647,8.2495,34.5624,286.23527
655.121,6.8733,34.5283,295.32446
856.863,5.3894,34.5219,305.66085
1008.319,4.7258,34.5297,310.47312
2.807,26.0168,34.6704,203.74265
2.827,26.0116,34.6698,203.76081
2.878,26.0121,34.6702,203.75873
2.923,26.0215,34.6703,203.72683
3.044,26.0155,34.6706,203.74671
3.117,26.0193,34.6703,203.73423
3.133,26.0161,34.6702,203.74524
3.175,26.0129,34.67,203.7563
3.204,26.0291,34.6713,203.69999
10.69,25.9647,34.6628,203.92764
